genres,metascore,developer,userscore,rating,publisher,title,summary,release_date
Strategy|Real-Time|General|Command|,68,Realmforge Studios,4.5,E10+,Kalypso,Spacebase Startopia,"SPACEBASE STARTOPIA is an original mix of economic simulation and empire building strategy paired with classic RTS fights. In addition to the single player Campaign and Skirmish mode, there’s also a competitive and co-op multiplayer mode for up to 4 players. And as if maintaining the 3 Space Station Decks, entertaining the 8 Alien races and defending against invaders were not enough of a challenge, the dynamic narrator AI is not going to mince matters and commentates the events.","Mar 26, 2021"
Action|Platformer|2D|,68,Ametist Studio,tbd,M,Ratalaika Games,Within the Blade,"WTB has many distinguishing and unique features with its simplistic presentation offering detailed pixel art animations, ninjas galore fighting to their death, crafting of weapons and a whole lot more to present an ongoing challenge that will please and entice even the best of players. Importantly elements such as random level generation, crafting, skill trees are all part of a great mixture of ideas and interesting implementation. A Japanese Daime named Mamoru Imai summons demons to join his army, but darkness takes over his body and demons wreak havoc in the country. The player starts in the village “Black Lotus” and sensei sends him on the next mission. After each mission, the player returns to the village (Hub location) and here the player can take a break, craft, trade, inventory management, Sensei can learn new skills and get a new task.","Jul 16, 2021"
Sports|Team|Football|Sim|,68,EA Tiburon,0.6,E,Electronic Arts,Madden NFL 22,"There will be more detailed staff management and skill tree progression systems, with comprehensive weekly game strategy that integrates into your gameplan. Through the regular season and off-season, new scenarios will keep things fresh as you weigh various risks and rewards to make the right decisions for your team. Plus, Franchise will see improvements throughout the year via three Live Service updates. Our first live service update targeting September to release is one of your top requested features, Player Scouting. Keep an eye out for more Gridiron Notes as each Live Service update rolls in. The Yard is back with a new challenge-based Solo campaign. You can now visit new fields located on gorgeous beaches and beautiful mountain landscapes across the world, battle boss characters with unmatched NFL talents, and unlock celebrations and items for your avatar. Plus, a new ranked mode can allow for you competitive Yard players out there to test your skills against one another and earn rewards. Face of the Franchise returns - and this time with more customization. The mode lets you shape your story as a quarterback, wide receiver, running back, or (for the first time ever) a linebacker striving to reach NFL superstardom and become more than the game. You’ll start out prepping for the NFL and experiencing flashbacks to your most pivotal college football moments. You’ll then take the stage on Draft Day and begin the once in a lifetime NFL journey, playing every game of your rookie season, rising to the top all based on the choices you make. An all-new Player Class and progression system also lets you choose your skills, ratings, and unique attributes with even more customization options to realistically craft your avatar. You can also level up this year by sharing progression between The Yard and the all-new Face of the Franchise: Unite We Rise, so you never miss a beat.  Superstar KO is back again in Madden NFL 22 with a co-op eliminator mode. You’ll be able to play quick games in unique stadiums with fan favorite house rules and icons of football culture. Authentic NFL teams, various stadiums and rosters will also be available for the first time.","Aug 17, 2021"
Action|Shooter|Shoot-'Em-Up|Top-Down|,67,10tons,tbd,None,10tons,Tesla Force,"With science as your superpower, team up with Tesla, Curie, Lovecraft, and Shelley to save the world from an invasion of cosmic horrors. Tesla Force is an intense, procedurally generated, rogue-lite top-down shooter packed with non-stop mayhem and over-the-top power tripping. When the cosmic horrors awake, it's time to call up the Tesla Force to defend mankind against an assault from the outer reaches of reality!","Nov 24, 2020"
Action|Shooter|Shoot-'Em-Up|Horizontal|,67,Ratalaika Games,tbd,None,Ratalaika Games,Gynoug,"<span class=""blurb blurb_collapsed"">Gynoug AKA Wings of Wor<br/> <br/>Gynoug is a classical arcade style shooting game that went by the name Wings of Wor on the Sega Mega Drive /</span>","Nov 12, 2021"
Racing|Arcade|Automobile|,67,Pixel Maniacs,tbd,None,Pixel Maniacs,Can't Drive This,None,"Mar 19, 2021"
Role-Playing|Action RPG|,67,Games Workshop,5.8,None,Bigben Interactive,Warhammer: Chaosbane,"In a world ravaged by war and dominated by magic, you are the last hope for the Empire of Man against the Chaos hordes. Playing solo or with up to 4 in local or online co-op, choose a hero from 4 character classes with unique and complementary skills, and prepare for epic battles wielding","Nov 12, 2020"
Action|Platformer|2D|,67,Jankenteam,7.0,E,Merge Games,Alex Kidd in Miracle World DX,"<span class=""blurb blurb_collapsed"">Since his first appearance in 1986 with Alex Kidd in Miracle World, the iconic Alex Kidd makes his return to smash rocks, collect coins and tackle bosses once again in Alex Kidd in Miracle World DX!<br/><br/>Return The Kingdom of Radaxian to its former glory and destroy the evil Janken the Great!</span>","Jun 22, 2021"
Role-Playing|Japanese-Style|,67,Compile Heart,6.7,T,Idea Factory,Neptunia ReVerse,"Neptunia ReVerse is an updated and enhanced version of the beloved RPG game Hyperdimension Neptunia Re;Birth 1 , originally released for the PlayStation Vita. Fans of the Neptunia series and newcomers can enjoy the lush worlds of Gamindustri with the help of the PS5 and new gameplay","Jun  8, 2021"
Action|Shooter|Third-Person|Tactical|,67,Cold Iron Studios,6.2,M,Cold Iron Studios,Aliens: Fireteam Elite,"2202. A mysterious distress call reroutes your Marine Assault Unit to LV-895 in the outer colonies, where deadly Xenomorph legions, hidden corporate secrets, and ancient alien ruins await your arrival. Set in the iconic Alien universe, Aliens: Fireteam is a cooperative third-person survival","Aug 24, 2021"
